ID,Provincia,Canton,Localizacion,Poblacion,Cantidad,Tasa,Genero,Año
1,SAN JOSE,CENTRAL,PROSTATA,176061,42,23.86,HOMBRE,2011
2,SAN JOSE,ESCAZU,PROSTATA,30462,4,13.13,HOMBRE,2011
3,SAN JOSE,DESAMPARADOS,PROSTATA,152103,21,13.81,HOMBRE,2011
4,SAN JOSE,PURISCAL,PROSTATA,15760,5,31.73,HOMBRE,2011
5,SAN JOSE,TARRAZU,PROSTATA,8417,0,0,HOMBRE,2011
6,SAN JOSE,ASERRI,PROSTATA,28084,2,7.12,HOMBRE,2011
7,SAN JOSE,MORA,PROSTATA,13686,1,7.31,HOMBRE,2011
8,SAN JOSE,GOICOECHEA,PROSTATA,65633,16,24.38,HOMBRE,2011
9,SAN JOSE,SANTA ANA,PROSTATA,22017,8,36.34,HOMBRE,2011
10,SAN JOSE,ALAJUELITA,PROSTATA,66685,5,7.5,HOMBRE,2011
11,SAN JOSE,CORONADO,PROSTATA,41330,10,24.2,HOMBRE,2011
12,SAN JOSE,ACOSTA,PROSTATA,9987,0,0,HOMBRE,2011
13,SAN JOSE,TIBAS,PROSTATA,30106,7,23.25,HOMBRE,2011
14,SAN JOSE,MORAVIA,PROSTATA,27111,4,14.75,HOMBRE,2011
15,SAN JOSE,MONTES DE OCA,PROSTATA,26539,8,30.14,HOMBRE,2011
16,SAN JOSE,TURRUBARES,PROSTATA,2390,1,41.84,HOMBRE,2011
17,SAN JOSE,DOTA,PROSTATA,3338,0,0,HOMBRE,2011
18,SAN JOSE,CURRIDABAT,PROSTATA,36497,6,16.44,HOMBRE,2011
19,SAN JOSE,PEREZ ZELEDON,PROSTATA,65271,11,16.85,HOMBRE,2011
20,SAN JOSE,LEON CORTES,PROSTATA,6824,0,0,HOMBRE,2011
21,ALAJUELA,CENTRAL,PROSTATA,145135,33,22.74,HOMBRE,2011
22,ALAJUELA,SAN RAMON,PROSTATA,45418,8,17.61,HOMBRE,2011
23,ALAJUELA,GRECIA,PROSTATA,42227,11,26.05,HOMBRE,2011
24,ALAJUELA,SAN MATEO,PROSTATA,2985,2,67,HOMBRE,2011
25,ALAJUELA,ATENAS,PROSTATA,13364,2,14.97,HOMBRE,2011
26,ALAJUELA,NARANJO,PROSTATA,23020,5,21.72,HOMBRE,2011
27,ALAJUELA,PALMARES,PROSTATA,19341,3,15.51,HOMBRE,2011
28,ALAJUELA,POAS,PROSTATA,16256,2,12.3,HOMBRE,2011
29,ALAJUELA,OROTINA,PROSTATA,9581,3,31.31,HOMBRE,2011
30,ALAJUELA,SAN CARLOS,PROSTATA,77589,11,14.18,HOMBRE,2011
31,ALAJUELA,ALFARO RUIZ,PROSTATA,7789,0,0,HOMBRE,2011
32,ALAJUELA,VALVERDE VEGA,PROSTATA,9140,3,32.82,HOMBRE,2011
33,ALAJUELA,UPALA,PROSTATA,18732,3,16.02,HOMBRE,2011
34,ALAJUELA,LOS CHILES,PROSTATA,10825,2,18.48,HOMBRE,2011
35,ALAJUELA,GUATUSO,PROSTATA,8694,1,11.5,HOMBRE,2011
36,CARTAGO,CENTRAL,PROSTATA,78555,15,19.09,HOMBRE,2011
37,CARTAGO,PARAISO,PROSTATA,35284,1,2.83,HOMBRE,2011
38,CARTAGO,LA UNION,PROSTATA,53721,6,11.17,HOMBRE,2011
39,CARTAGO,JIMENEZ,PROSTATA,7084,0,0,HOMBRE,2011
40,CARTAGO,TURRIALBA,PROSTATA,35962,6,16.68,HOMBRE,2011
41,CARTAGO,ALVARADO,PROSTATA,6990,0,0,HOMBRE,2011
42,CARTAGO,OREAMUNO,PROSTATA,22556,2,8.87,HOMBRE,2011
43,CARTAGO,EL GUARCO,PROSTATA,19823,4,20.18,HOMBRE,2011
44,HEREDIA,CENTRAL,PROSTATA,67169,14,20.84,HOMBRE,2011
45,HEREDIA,BARVA,PROSTATA,19953,1,5.01,HOMBRE,2011
46,HEREDIA,SANTO DOMINGO,PROSTATA,18957,5,26.38,HOMBRE,2011
47,HEREDIA,SANTA BARBARA,PROSTATA,17747,5,28.17,HOMBRE,2011
48,HEREDIA,SAN RAFAEL,PROSTATA,22062,4,18.13,HOMBRE,2011
49,HEREDIA,SAN ISIDRO,PROSTATA,11378,2,17.58,HOMBRE,2011
50,HEREDIA,BELEN,PROSTATA,11832,5,42.26,HOMBRE,2011
51,HEREDIA,FLORES,PROSTATA,8897,2,22.48,HOMBRE,2011
52,HEREDIA,SAN PABLO,PROSTATA,11720,4,34.13,HOMBRE,2011
53,HEREDIA,SARAPIQUI,PROSTATA,42040,4,9.51,HOMBRE,2011
54,GUANACASTE,LIBERIA,PROSTATA,27303,5,18.31,HOMBRE,2011
55,GUANACASTE,NICOYA,PROSTATA,20554,2,9.73,HOMBRE,2011
56,GUANACASTE,SANTA CRUZ,PROSTATA,22487,5,22.24,HOMBRE,2011
57,GUANACASTE,BAGACES,PROSTATA,9834,2,20.34,HOMBRE,2011
58,GUANACASTE,CARRILLO,PROSTATA,15525,0,0,HOMBRE,2011
59,GUANACASTE,CAÑAS,PROSTATA,12664,4,31.59,HOMBRE,2011
60,GUANACASTE,ABANGARES,PROSTATA,8656,1,11.55,HOMBRE,2011
61,GUANACASTE,TILARAN,PROSTATA,8449,3,35.51,HOMBRE,2011
62,GUANACASTE,NANDAYURE,PROSTATA,5121,3,58.58,HOMBRE,2011
63,GUANACASTE,LA CRUZ,PROSTATA,8863,0,0,HOMBRE,2011
64,GUANACASTE,HOJANCHA,PROSTATA,3384,1,29.55,HOMBRE,2011
65,PUNTARENAS,CENTRAL,PROSTATA,54665,11,20.12,HOMBRE,2011
66,PUNTARENAS,ESPARZA,PROSTATA,14249,0,0,HOMBRE,2011
67,PUNTARENAS,BUENOS AIRES,PROSTATA,22558,1,4.43,HOMBRE,2011
68,PUNTARENAS,MONTES DE ORO,PROSTATA,6692,3,44.83,HOMBRE,2011
69,PUNTARENAS,OSA,PROSTATA,10955,2,18.26,HOMBRE,2011
70,PUNTARENAS,AGUIRRE,PROSTATA,12897,5,38.77,HOMBRE,2011
71,PUNTARENAS,GOLFITO,PROSTATA,15238,2,13.13,HOMBRE,2011
72,PUNTARENAS,COTO BRUS,PROSTATA,17615,5,28.38,HOMBRE,2011
73,PUNTARENAS,PARRITA,PROSTATA,6492,3,46.21,HOMBRE,2011
74,PUNTARENAS,CORREDORES,PROSTATA,16601,6,36.14,HOMBRE,2011
75,PUNTARENAS,GARABITO,PROSTATA,12489,1,8.01,HOMBRE,2011
76,LIMON,CENTRAL,PROSTATA,54106,14,25.88,HOMBRE,2011
77,LIMON,POCOCI,PROSTATA,81446,12,14.73,HOMBRE,2011
78,LIMON,SIQUIRRES,PROSTATA,32217,4,12.42,HOMBRE,2011
79,LIMON,TALAMANCA,PROSTATA,18065,3,16.61,HOMBRE,2011
80,LIMON,MATINA,PROSTATA,25619,3,11.71,HOMBRE,2011
81,LIMON,GUACIMO,PROSTATA,25132,1,3.98,HOMBRE,2011
82,SAN JOSE,CENTRAL,ESTOMAGO,176061,30,17.04,HOMBRE,2011
83,SAN JOSE,ESCAZU,ESTOMAGO,30462,2,6.57,HOMBRE,2011
84,SAN JOSE,DESAMPARADOS,ESTOMAGO,152103,26,17.09,HOMBRE,2011
85,SAN JOSE,PURISCAL,ESTOMAGO,15760,2,12.69,HOMBRE,2011
86,SAN JOSE,TARRAZU,ESTOMAGO,8417,2,23.76,HOMBRE,2011
87,SAN JOSE,ASERRI,ESTOMAGO,28084,5,17.8,HOMBRE,2011
88,SAN JOSE,MORA,ESTOMAGO,13686,4,29.23,HOMBRE,2011
89,SAN JOSE,GOICOECHEA,ESTOMAGO,65633,13,19.81,HOMBRE,2011
90,SAN JOSE,SANTA ANA,ESTOMAGO,22017,5,22.71,HOMBRE,2011
91,SAN JOSE,ALAJUELITA,ESTOMAGO,66685,2,3,HOMBRE,2011
92,SAN JOSE,CORONADO,ESTOMAGO,41330,3,7.26,HOMBRE,2011
93,SAN JOSE,ACOSTA,ESTOMAGO,9987,4,40.05,HOMBRE,2011
94,SAN JOSE,TIBAS,ESTOMAGO,30106,10,33.22,HOMBRE,2011
95,SAN JOSE,MORAVIA,ESTOMAGO,27111,2,7.38,HOMBRE,2011
96,SAN JOSE,MONTES DE OCA,ESTOMAGO,26539,1,3.77,HOMBRE,2011
97,SAN JOSE,TURRUBARES,ESTOMAGO,2390,3,125.52,HOMBRE,2011
98,SAN JOSE,DOTA,ESTOMAGO,3338,1,29.96,HOMBRE,2011
99,SAN JOSE,CURRIDABAT,ESTOMAGO,36497,6,16.44,HOMBRE,2011
100,SAN JOSE,PEREZ ZELEDON,ESTOMAGO,65271,15,22.98,HOMBRE,2011
101,SAN JOSE,LEON CORTES,ESTOMAGO,6824,3,43.96,HOMBRE,2011
102,ALAJUELA,CENTRAL,ESTOMAGO,145135,19,13.09,HOMBRE,2011
103,ALAJUELA,SAN RAMON,ESTOMAGO,45418,6,13.21,HOMBRE,2011
104,ALAJUELA,GRECIA,ESTOMAGO,42227,5,11.84,HOMBRE,2011
105,ALAJUELA,SAN MATEO,ESTOMAGO,2985,1,33.5,HOMBRE,2011
106,ALAJUELA,ATENAS,ESTOMAGO,13364,3,22.45,HOMBRE,2011
107,ALAJUELA,NARANJO,ESTOMAGO,23020,8,34.75,HOMBRE,2011
108,ALAJUELA,PALMARES,ESTOMAGO,19341,1,5.17,HOMBRE,2011
109,ALAJUELA,POAS,ESTOMAGO,16256,3,18.45,HOMBRE,2011
110,ALAJUELA,OROTINA,ESTOMAGO,9581,2,20.87,HOMBRE,2011
111,ALAJUELA,SAN CARLOS,ESTOMAGO,77589,6,7.73,HOMBRE,2011
112,ALAJUELA,ALFARO RUIZ,ESTOMAGO,7789,1,12.84,HOMBRE,2011
113,ALAJUELA,VALVERDE VEGA,ESTOMAGO,9140,1,10.94,HOMBRE,2011
114,ALAJUELA,UPALA,ESTOMAGO,18732,4,21.35,HOMBRE,2011
115,ALAJUELA,LOS CHILES,ESTOMAGO,10825,2,18.48,HOMBRE,2011
116,ALAJUELA,GUATUSO,ESTOMAGO,8694,0,0,HOMBRE,2011
117,CARTAGO,CENTRAL,ESTOMAGO,78555,12,15.28,HOMBRE,2011
118,CARTAGO,PARAISO,ESTOMAGO,35284,4,11.34,HOMBRE,2011
119,CARTAGO,LA UNION,ESTOMAGO,53721,7,13.03,HOMBRE,2011
120,CARTAGO,JIMENEZ,ESTOMAGO,7084,6,84.7,HOMBRE,2011
121,CARTAGO,TURRIALBA,ESTOMAGO,35962,5,13.9,HOMBRE,2011
122,CARTAGO,ALVARADO,ESTOMAGO,6990,3,42.92,HOMBRE,2011
123,CARTAGO,OREAMUNO,ESTOMAGO,22556,7,31.03,HOMBRE,2011
124,CARTAGO,EL GUARCO,ESTOMAGO,19823,5,25.22,HOMBRE,2011
125,HEREDIA,CENTRAL,ESTOMAGO,67169,7,10.42,HOMBRE,2011
126,HEREDIA,BARVA,ESTOMAGO,19953,1,5.01,HOMBRE,2011
127,HEREDIA,SANTO DOMINGO,ESTOMAGO,18957,7,36.93,HOMBRE,2011
128,HEREDIA,SANTA BARBARA,ESTOMAGO,17747,3,16.9,HOMBRE,2011
129,HEREDIA,SAN RAFAEL,ESTOMAGO,22062,2,9.07,HOMBRE,2011
130,HEREDIA,SAN ISIDRO,ESTOMAGO,11378,2,17.58,HOMBRE,2011
131,HEREDIA,BELEN,ESTOMAGO,11832,0,0,HOMBRE,2011
132,HEREDIA,FLORES,ESTOMAGO,8897,2,22.48,HOMBRE,2011
133,HEREDIA,SAN PABLO,ESTOMAGO,11720,2,17.06,HOMBRE,2011
134,HEREDIA,SARAPIQUI,ESTOMAGO,42040,3,7.14,HOMBRE,2011
135,GUANACASTE,LIBERIA,ESTOMAGO,27303,4,14.65,HOMBRE,2011
136,GUANACASTE,NICOYA,ESTOMAGO,20554,5,24.33,HOMBRE,2011
137,GUANACASTE,SANTA CRUZ,ESTOMAGO,22487,9,40.02,HOMBRE,2011
138,GUANACASTE,BAGACES,ESTOMAGO,9834,3,30.51,HOMBRE,2011
139,GUANACASTE,CARRILLO,ESTOMAGO,15525,2,12.88,HOMBRE,2011
140,GUANACASTE,CAÑAS,ESTOMAGO,12664,0,0,HOMBRE,2011
141,GUANACASTE,ABANGARES,ESTOMAGO,8656,0,0,HOMBRE,2011
142,GUANACASTE,TILARAN,ESTOMAGO,8449,2,23.67,HOMBRE,2011
143,GUANACASTE,NANDAYURE,ESTOMAGO,5121,1,19.53,HOMBRE,2011
144,GUANACASTE,LA CRUZ,ESTOMAGO,8863,3,33.85,HOMBRE,2011
145,GUANACASTE,HOJANCHA,ESTOMAGO,3384,1,29.55,HOMBRE,2011
146,PUNTARENAS,CENTRAL,ESTOMAGO,54665,4,7.32,HOMBRE,2011
147,PUNTARENAS,ESPARZA,ESTOMAGO,14249,4,28.07,HOMBRE,2011
148,PUNTARENAS,BUENOS AIRES,ESTOMAGO,22558,3,13.3,HOMBRE,2011
149,PUNTARENAS,MONTES DE ORO,ESTOMAGO,6692,0,0,HOMBRE,2011
150,PUNTARENAS,OSA,ESTOMAGO,10955,4,36.51,HOMBRE,2011
151,PUNTARENAS,AGUIRRE,ESTOMAGO,12897,3,23.26,HOMBRE,2011
152,PUNTARENAS,GOLFITO,ESTOMAGO,15238,3,19.69,HOMBRE,2011
153,PUNTARENAS,COTO BRUS,ESTOMAGO,17615,5,28.38,HOMBRE,2011
154,PUNTARENAS,PARRITA,ESTOMAGO,6492,1,15.4,HOMBRE,2011
155,PUNTARENAS,CORREDORES,ESTOMAGO,16601,4,24.09,HOMBRE,2011
156,PUNTARENAS,GARABITO,ESTOMAGO,12489,1,8.01,HOMBRE,2011
157,LIMON,CENTRAL,ESTOMAGO,54106,3,5.54,HOMBRE,2011
158,LIMON,POCOCI,ESTOMAGO,81446,11,13.51,HOMBRE,2011
159,LIMON,SIQUIRRES,ESTOMAGO,32217,7,21.73,HOMBRE,2011
160,LIMON,TALAMANCA,ESTOMAGO,18065,3,16.61,HOMBRE,2011
161,LIMON,MATINA,ESTOMAGO,25619,1,3.9,HOMBRE,2011
162,LIMON,GUACIMO,ESTOMAGO,25132,4,15.92,HOMBRE,2011
163,SAN JOSE,CENTRAL,BRONQUIOS Y PULMON,176061,16,9.09,HOMBRE,2011
164,SAN JOSE,ESCAZU,BRONQUIOS Y PULMON,30462,3,9.85,HOMBRE,2011
165,SAN JOSE,DESAMPARADOS,BRONQUIOS Y PULMON,152103,12,7.89,HOMBRE,2011
166,SAN JOSE,PURISCAL,BRONQUIOS Y PULMON,15760,1,6.35,HOMBRE,2011
167,SAN JOSE,TARRAZU,BRONQUIOS Y PULMON,8417,1,11.88,HOMBRE,2011
168,SAN JOSE,ASERRI,BRONQUIOS Y PULMON,28084,3,10.68,HOMBRE,2011
169,SAN JOSE,MORA,BRONQUIOS Y PULMON,13686,2,14.61,HOMBRE,2011
170,SAN JOSE,GOICOECHEA,BRONQUIOS Y PULMON,65633,6,9.14,HOMBRE,2011
171,SAN JOSE,SANTA ANA,BRONQUIOS Y PULMON,22017,1,4.54,HOMBRE,2011
172,SAN JOSE,ALAJUELITA,BRONQUIOS Y PULMON,66685,6,9,HOMBRE,2011
173,SAN JOSE,CORONADO,BRONQUIOS Y PULMON,41330,3,7.26,HOMBRE,2011
174,SAN JOSE,ACOSTA,BRONQUIOS Y PULMON,9987,0,0,HOMBRE,2011
175,SAN JOSE,TIBAS,BRONQUIOS Y PULMON,30106,7,23.25,HOMBRE,2011
176,SAN JOSE,MORAVIA,BRONQUIOS Y PULMON,27111,5,18.44,HOMBRE,2011
177,SAN JOSE,MONTES DE OCA,BRONQUIOS Y PULMON,26539,1,3.77,HOMBRE,2011
178,SAN JOSE,TURRUBARES,BRONQUIOS Y PULMON,2390,0,0,HOMBRE,2011
179,SAN JOSE,DOTA,BRONQUIOS Y PULMON,3338,0,0,HOMBRE,2011
180,SAN JOSE,CURRIDABAT,BRONQUIOS Y PULMON,36497,4,10.96,HOMBRE,2011
181,SAN JOSE,PEREZ ZELEDON,BRONQUIOS Y PULMON,65271,3,4.6,HOMBRE,2011
182,SAN JOSE,LEON CORTES,BRONQUIOS Y PULMON,6824,0,0,HOMBRE,2011
183,ALAJUELA,CENTRAL,BRONQUIOS Y PULMON,145135,16,11.02,HOMBRE,2011
184,ALAJUELA,SAN RAMON,BRONQUIOS Y PULMON,45418,1,2.2,HOMBRE,2011
185,ALAJUELA,GRECIA,BRONQUIOS Y PULMON,42227,0,0,HOMBRE,2011
186,ALAJUELA,SAN MATEO,BRONQUIOS Y PULMON,2985,1,33.5,HOMBRE,2011
187,ALAJUELA,ATENAS,BRONQUIOS Y PULMON,13364,1,7.48,HOMBRE,2011
188,ALAJUELA,NARANJO,BRONQUIOS Y PULMON,23020,4,17.38,HOMBRE,2011
189,ALAJUELA,PALMARES,BRONQUIOS Y PULMON,19341,3,15.51,HOMBRE,2011
190,ALAJUELA,POAS,BRONQUIOS Y PULMON,16256,1,6.15,HOMBRE,2011
191,ALAJUELA,OROTINA,BRONQUIOS Y PULMON,9581,1,10.44,HOMBRE,2011
192,ALAJUELA,SAN CARLOS,BRONQUIOS Y PULMON,77589,3,3.87,HOMBRE,2011
193,ALAJUELA,ALFARO RUIZ,BRONQUIOS Y PULMON,7789,0,0,HOMBRE,2011
194,ALAJUELA,VALVERDE VEGA,BRONQUIOS Y PULMON,9140,0,0,HOMBRE,2011
195,ALAJUELA,UPALA,BRONQUIOS Y PULMON,18732,2,10.68,HOMBRE,2011
196,ALAJUELA,LOS CHILES,BRONQUIOS Y PULMON,10825,0,0,HOMBRE,2011
197,ALAJUELA,GUATUSO,BRONQUIOS Y PULMON,8694,1,11.5,HOMBRE,2011
198,CARTAGO,CENTRAL,BRONQUIOS Y PULMON,78555,8,10.18,HOMBRE,2011
199,CARTAGO,PARAISO,BRONQUIOS Y PULMON,35284,5,14.17,HOMBRE,2011
200,CARTAGO,LA UNION,BRONQUIOS Y PULMON,53721,2,3.72,HOMBRE,2011
201,CARTAGO,JIMENEZ,BRONQUIOS Y PULMON,7084,0,0,HOMBRE,2011
202,CARTAGO,TURRIALBA,BRONQUIOS Y PULMON,35962,2,5.56,HOMBRE,2011
203,CARTAGO,ALVARADO,BRONQUIOS Y PULMON,6990,1,14.31,HOMBRE,2011
204,CARTAGO,OREAMUNO,BRONQUIOS Y PULMON,22556,0,0,HOMBRE,2011
205,CARTAGO,EL GUARCO,BRONQUIOS Y PULMON,19823,1,5.04,HOMBRE,2011
206,HEREDIA,CENTRAL,BRONQUIOS Y PULMON,67169,10,14.89,HOMBRE,2011
207,HEREDIA,BARVA,BRONQUIOS Y PULMON,19953,1,5.01,HOMBRE,2011
208,HEREDIA,SANTO DOMINGO,BRONQUIOS Y PULMON,18957,3,15.83,HOMBRE,2011
209,HEREDIA,SANTA BARBARA,BRONQUIOS Y PULMON,17747,0,0,HOMBRE,2011
210,HEREDIA,SAN RAFAEL,BRONQUIOS Y PULMON,22062,4,18.13,HOMBRE,2011
211,HEREDIA,SAN ISIDRO,BRONQUIOS Y PULMON,11378,1,8.79,HOMBRE,2011
212,HEREDIA,BELEN,BRONQUIOS Y PULMON,11832,1,8.45,HOMBRE,2011
213,HEREDIA,FLORES,BRONQUIOS Y PULMON,8897,1,11.24,HOMBRE,2011
214,HEREDIA,SAN PABLO,BRONQUIOS Y PULMON,11720,1,8.53,HOMBRE,2011
215,HEREDIA,SARAPIQUI,BRONQUIOS Y PULMON,42040,1,2.38,HOMBRE,2011
216,GUANACASTE,LIBERIA,BRONQUIOS Y PULMON,27303,3,10.99,HOMBRE,2011
217,GUANACASTE,NICOYA,BRONQUIOS Y PULMON,20554,0,0,HOMBRE,2011
218,GUANACASTE,SANTA CRUZ,BRONQUIOS Y PULMON,22487,4,17.79,HOMBRE,2011
219,GUANACASTE,BAGACES,BRONQUIOS Y PULMON,9834,0,0,HOMBRE,2011
220,GUANACASTE,CARRILLO,BRONQUIOS Y PULMON,15525,0,0,HOMBRE,2011
221,GUANACASTE,CAÑAS,BRONQUIOS Y PULMON,12664,0,0,HOMBRE,2011
222,GUANACASTE,ABANGARES,BRONQUIOS Y PULMON,8656,0,0,HOMBRE,2011
223,GUANACASTE,TILARAN,BRONQUIOS Y PULMON,8449,1,11.84,HOMBRE,2011
224,GUANACASTE,NANDAYURE,BRONQUIOS Y PULMON,5121,1,19.53,HOMBRE,2011
225,GUANACASTE,LA CRUZ,BRONQUIOS Y PULMON,8863,1,11.28,HOMBRE,2011
226,GUANACASTE,HOJANCHA,BRONQUIOS Y PULMON,3384,0,0,HOMBRE,2011
227,PUNTARENAS,CENTRAL,BRONQUIOS Y PULMON,54665,6,10.98,HOMBRE,2011
228,PUNTARENAS,ESPARZA,BRONQUIOS Y PULMON,14249,1,7.02,HOMBRE,2011
229,PUNTARENAS,BUENOS AIRES,BRONQUIOS Y PULMON,22558,1,4.43,HOMBRE,2011
230,PUNTARENAS,MONTES DE ORO,BRONQUIOS Y PULMON,6692,0,0,HOMBRE,2011
231,PUNTARENAS,OSA,BRONQUIOS Y PULMON,10955,0,0,HOMBRE,2011
232,PUNTARENAS,AGUIRRE,BRONQUIOS Y PULMON,12897,1,7.75,HOMBRE,2011
233,PUNTARENAS,GOLFITO,BRONQUIOS Y PULMON,15238,3,19.69,HOMBRE,2011
234,PUNTARENAS,COTO BRUS,BRONQUIOS Y PULMON,17615,4,22.71,HOMBRE,2011
235,PUNTARENAS,PARRITA,BRONQUIOS Y PULMON,6492,0,0,HOMBRE,2011
236,PUNTARENAS,CORREDORES,BRONQUIOS Y PULMON,16601,1,6.02,HOMBRE,2011
237,PUNTARENAS,GARABITO,BRONQUIOS Y PULMON,12489,1,8.01,HOMBRE,2011
238,LIMON,CENTRAL,BRONQUIOS Y PULMON,54106,3,5.54,HOMBRE,2011
239,LIMON,POCOCI,BRONQUIOS Y PULMON,81446,6,7.37,HOMBRE,2011
240,LIMON,SIQUIRRES,BRONQUIOS Y PULMON,32217,9,27.94,HOMBRE,2011
241,LIMON,TALAMANCA,BRONQUIOS Y PULMON,18065,2,11.07,HOMBRE,2011
242,LIMON,MATINA,BRONQUIOS Y PULMON,25619,1,3.9,HOMBRE,2011
243,LIMON,GUACIMO,BRONQUIOS Y PULMON,25132,2,7.96,HOMBRE,2011
244,SAN JOSE,CENTRAL,HIGADO,176061,12,6.82,HOMBRE,2011
245,SAN JOSE,ESCAZU,HIGADO,30462,2,6.57,HOMBRE,2011
246,SAN JOSE,DESAMPARADOS,HIGADO,152103,5,3.29,HOMBRE,2011
247,SAN JOSE,PURISCAL,HIGADO,15760,0,0,HOMBRE,2011
248,SAN JOSE,TARRAZU,HIGADO,8417,1,11.88,HOMBRE,2011
249,SAN JOSE,ASERRI,HIGADO,28084,3,10.68,HOMBRE,2011
250,SAN JOSE,MORA,HIGADO,13686,0,0,HOMBRE,2011
251,SAN JOSE,GOICOECHEA,HIGADO,65633,7,10.67,HOMBRE,2011
